,Folder Name,Start Time,End Time,Classification,Classes,Duration,Peak Acc x,Mean Acc x,Peak Acc y,Mean Acc y,Peak Acc z,Mean Acc z,Peak Gyro x,Mean Gyro x,Peak Gyro y,Mean Gyro y,Peak Gyro z,Mean Gyro z,Peak Mag,Mean Mag,Peak Gyro Mag,Mean Gyro Mag,Peak Speed,Mean Speed,Mag Speed,Peak Acceleration (m/s2),N Mag Peaks,N Gyro Mag Peaks,Age,Height
19,13/10/2020,00:21:25,00:21:26,0,,1.8,1.369572,-0.046740475,3.41112,0.858536746,2.66448,0.634780475,157.15,5.034067797,197.82,-10.74559322,89.04,9.108700565,4.295232604,1.201388154,253.7408274,86.08804709,2.41944638,2.41944638,2.11389058,0.8302306,1,3,31,186
20,13/10/2020,00:21:28,00:21:30,0,,1.7,1.155096,-0.017996386,3.63072,0.870763909,2.694492,0.641568886,180.81,7.371477273,254.31,-12.06107955,80.57,5.837443182,4.379705994,1.220896752,257.3824992,86.31034076,2.4166686,2.4166686,2.4166686,0.898465997,1,3,31,186
21,13/10/2020,00:21:33,00:21:35,0,,1.8,1.308816,-0.023226607,3.793224,0.883667933,2.179164,0.623898404,164.15,-1.025224719,111.93,-4.215730337,87.64,-0.373595506,4.214948802,1.159646272,215.7089384,62.98905467,2.27222404,2.27222404,2.03055718,0.698837623,1,1,31,186
22,13/10/2020,00:24:00,00:24:00,0,,0.6,0.895968,-0.167606149,4.228032,0.894547701,1.809504,0.67825809,138.39,-42.82537313,364.7,8.681044776,65.03,-41.77746269,4.283955314,1.384428215,395.7754068,129.8358187,0.85277846,0.85277846,0.75555616,0.586055642,1,1,31,186
23,13/10/2020,00:24:25,00:24:27,0,,1.8,2.048868,0.105848818,5.843556,0.777384,4.004772,0.773857459,196.98,-22.52955801,273,6.478674033,135.17,-17.08618785,6.305386051,1.673149799,458.0981468,131.3234789,2.18889064,2.18889064,1.47777896,1.345748998,5,8,31,186
24,13/10/2020,00:24:27,00:24:29,0,,1.7,2.943372,0.106712138,6.135624,0.903881172,3.313032,0.742500414,472.22,9.317241379,436.66,-7.66862069,153.86,-11.49247126,6.814262819,2.028306344,488.5077076,157.5986149,1.57222348,1.57222348,1.03055638,1.193446737,6,8,31,186
25,13/10/2020,00:24:29,00:24:31,0,,2,2.096448,0.03483588,6.347904,0.6859938,3.465288,0.55692024,433.3,6.818,377.86,-11.13385,103.88,1.6226,7.024292291,1.908237311,501.9515699,151.7706519,1.81111256,1.81111256,0.8611118,1.291872343,3,5,31,186
26,13/10/2020,00:24:31,00:24:33,1,5,1.9,12.793896,0.616167707,2.37534,-0.113406346,2.81088,0.382958639,470.61,16.47052356,925.26,10.44575916,296.1,26.25036649,12.822797,1.719678682,988.2217739,158.964315,4.41111464,4.41111464,4.41111464,2.392658921,1,2,31,186
27,13/10/2020,00:24:35,00:24:36,1,7,1.1,2.26554,-0.3006995,2.450004,-0.1085983,6.615816,0.5967203,315.21,-4.684166667,311.43,-35.96833333,314.86,-72.27733333,12.125942,1.813508347,924.824839,177.1985366,3.33611378,3.33611378,2.76944666,1.86803326,1,2,31,186
28,13/10/2020,00:24:59,00:25:00,0,,0.4,0.970632,-0.163099814,4.67016,0.813711628,1.519632,0.889243814,253.05,28.52255814,214.62,-0.113953488,40.18,-65.4727907,4.739763534,1.411788332,309.5839962,156.5884678,1.01944526,1.01944526,1.01944526,0.677517303,1,0,31,186
